Accession	Value1	Value2	Value3	Value4	Value5	Value6	Value7	Value8	Value9	Value10	Description
NM_001003406	856	252	295	708	630	518	971	524	849	270	Voltage-dependent T-type calcium channel alpha-1I subunit (Voltage- gated calcium channel alpha subunit Cav3.3) (Ca(v)3.3). [Source:Uniprot/SWISSPROT;Acc:Q9P0X4]
NM_007068	270	639	445	724	986	836	79	362	785	284	Meiotic recombination protein DMC1/LIM15 homolog. [Source:Uniprot/SWISSPROT;Acc:Q14565]
NM_001008658	236	267	318	837	443	81	468	908	779	118	Gamma-tubulin complex component 6 (GCP-6). [Source:Uniprot/SWISSPROT;Acc:Q96RT7]
NM_003634	149	694	320	649	564	40	675	906	318	715	NipSnap1 protein. [Source:Uniprot/SWISSPROT;Acc:Q9BPW8]
NM_005488	283	834	302	388	615	105	752	79	931	456	Target of Myb protein 1. [Source:Uniprot/SWISSPROT;Acc:O60784]
NM_001098	382	374	778	850	14	177	843	515	589	289	Aconitate hydratase, mitochondrial precursor (EC 4.2.1.3) (Citrate hydro-lyase) (Aconitase). [Source:Uniprot/SWISSPROT;Acc:Q99798]
NM_021076	353	382	982	587	661	948	527	87	177	112	Neurofilament triplet H protein (200 kDa neurofilament protein) (Neurofilament heavy polypeptide) (NF-H). [Source:Uniprot/SWISSPROT;Acc:P12036]
NM_006485	644	674	299	0	489	784	509	313	28	807	Fibulin-1 precursor. [Source:Uniprot/SWISSPROT;Acc:P23142]
NM_145912	274	238	440	504	924	437	255	214	160	171	NFAT activation molecule 1 precursor (Calcineurin/NFAT-activating ITAM-containing protein) (NFAT activating protein with ITAM motif 1). [Source:Uniprot/SWISSPROT;Acc:Q8NET5]
NM_001008572	135	133	333	54	707	447	176	510	350	603	Tubulin tyrosine ligase-like protein 1. [Source:Uniprot/SWISSPROT;Acc:O95922]
NM_006855	124	423	337	487	888	45	253	808	436	676	ER lumen protein retaining receptor 3 (KDEL receptor 3) (KDEL endoplasmic reticulum protein retention receptor 3). [Source:Uniprot/SWISSPROT;Acc:O43731]
NM_020831	86	459	42	147	890	134	552	644	443	988	MKL/myocardin-like protein 1 (Myocardin-related transcription factor A) (MRTF-A) (Megakaryoblastic leukemia 1 protein) (Megacaryocytic acute leukemia protein). [Source:Uniprot/SWISSPROT;Acc:Q969V6]
NM_053006	525	901	794	622	417	291	111	165	441	854	Testis-specific serine/threonine-protein kinase 2 (EC 2.7.1.37) (TSSK- 2) (Testis-specific kinase 2) (TSK-2) (Serine/threonine-protein kinase 22B) (DiGeorge syndrome protein G). [Source:Uniprot/SWISSPROT;Acc:Q96PF2]
NM_004286	729	750	284	782	816	146	321	400	550	847	GTP-binding protein 1 (G-protein 1) (GP-1) (GP1). [Source:Uniprot/SWISSPROT;Acc:O00178]
NM_006358	485	176	228	379	456	781	193	127	320	743	Peroxisomal membrane protein PMP34 (34 kDa peroxisomal membrane protein) (Solute carrier family 25 member 17). [Source:Uniprot/SWISSPROT;Acc:O43808]
NM_002872	13	445	353	715	787	346	85	901	11	536	Ras-related C3 botulinum toxin substrate 2 (p21-Rac2) (Small G protein) (GX). [Source:Uniprot/SWISSPROT;Acc:P15153]
NM_000398	315	653	892	93	209	789	532	551	154	653	NADH-cytochrome b5 reductase (EC 1.6.2.2) (B5R) (Diaphorase-1) (Cytochrome b5 reductase 3) [Contains: NADH-cytochrome b5 reductase membrane bound form; NADH-cytochrome b5 reductase soluble form]. [Source:Uniprot/SWISSPROT;Acc:P00387]
NM_004981	865	694	525	452	786	816	14	891	344	751	Inward rectifier potassium channel 4 (Potassium channel, inwardly rectifying subfamily J member 4) (Inward rectifier K(+) channel Kir2.3) (Hippocampal inward rectifier) (HIR) (HRK1) (HIRK2). [Source:Uniprot/SWISSPROT;Acc:P48050]
NM_181773	671	660	432	436	337	781	865	302	599	353	ARP10 protein [Source:RefSeq_peptide;Acc:NP_861438]
NM_001003681	256	266	939	738	599	605	228	701	966	506	High-mobility group protein 2-like 1 (HMGBCG protein). [Source:Uniprot/SWISSPROT;Acc:Q9UGU5]
NM_002415	220	550	214	548	210	798	125	928	496	385	Macrophage migration inhibitory factor (MIF) (Phenylpyruvate tautomerase) (EC 5.3.2.1) (Glycosylation-inhibiting factor) (GIF). [Source:Uniprot/SWISSPROT;Acc:P14174]
NM_001031695	866	684	825	982	197	720	453	420	310	893	RNA-binding protein 9 (RNA-binding motif protein 9) (Hexaribonucleotide binding protein 2) (Repressor of tamoxifen transcriptional activity). [Source:Uniprot/SWISSPROT;Acc:O43251]
NM_007311	0	770	726	962	733	95	139	667	455	429	Peripheral-type benzodiazepine receptor (PBR) (PKBS) (Mitochondrial benzodiazepine receptor). [Source:Uniprot/SWISSPROT;Acc:P30536]
NM_001008566	631	722	638	989	146	15	971	167	641	776	Protein-tyrosine sulfotransferase 2 (EC 2.8.2.20) (Tyrosylprotein sulfotransferase-2) (TPST-2). [Source:Uniprot/SWISSPROT;Acc:O60704]
NM_002972	965	328	817	7	785	947	837	961	959	112	SET binding factor 1 (Sbf1) (Myotubularin-related protein 5). [Source:Uniprot/SWISSPROT;Acc:O95248]
NM_015088	936	928	112	931	332	142	399	867	334	62	Trinucleotide repeat-containing 6B protein. [Source:Uniprot/SWISSPROT;Acc:Q9UPQ9]
NM_003504	783	543	72	817	804	29	740	108	22	166	CDC45-related protein (PORC-PI-1). [Source:Uniprot/SWISSPROT;Acc:O75419]
NM_175709	761	330	763	942	782	210	337	453	910	728	Chromobox protein homolog 7. [Source:Uniprot/SWISSPROT;Acc:O95931]
NM_148176	393	491	89	620	539	271	17	228	922	354	Peptidyl-prolyl cis-trans isomerase-like 2 (EC 5.2.1.8) (PPIase) (Rotamase) (Cyclophilin-60) (Cyclophilin-like protein Cyp-60). [Source:Uniprot/SWISSPROT;Acc:Q13356]
NM_178552	536	983	887	267	864	314	398	882	607	244	Protein EAN57. [Source:Uniprot/SWISSPROT;Acc:O43247]
NM_000754	360	59	943	466	514	603	880	186	46	53	Catechol O-methyltransferase (EC 2.1.1.6). [Source:Uniprot/SWISSPROT;Acc:P21964]
NR_001580	9	500	574	348	643	593	668	884	756	546	syndecan 4 pseudogene (SDC4P) on chromosome 22 [Source:RefSeq_dna;Acc:NR_001580]
NM_058178	566	10	630	27	225	483	613	644	379	918	Neuronal pentraxin receptor. [Source:Uniprot/SWISSPROT;Acc:O95502]
NM_013356	888	247	760	767	676	964	125	845	762	238	Monocarboxylate transporter 3 (MCT 3). [Source:Uniprot/SWISSPROT;Acc:O95907]
NM_007172	259	956	756	659	603	632	7	873	666	518	Nucleoporin 50 kDa (Nuclear pore-associated protein 60 kDa-like). [Source:Uniprot/SWISSPROT;Acc:Q9UKX7]
NM_014293	552	334	878	447	32	200	32	727	958	142	Neuronal pentraxin receptor. [Source:Uniprot/SWISSPROT;Acc:O95502]
NM_005138	989	663	257	349	780	865	482	513	781	357	SCO2 protein homolog, mitochondrial precursor. [Source:Uniprot/SWISSPROT;Acc:O43819]
NM_015373	607	71	103	28	804	495	862	445	119	894	Chibby protein (PKD2 interactor, Golgi and endoplasmic reticulum associated 1) (PIGEA-14) (Cytosolic leucine-rich protein) (HRIHFB2025). [Source:Uniprot/SWISSPROT;Acc:Q9Y3M2]
NM_014310	482	576	443	730	684	434	686	910	329	194	GTP-binding protein Rhes (Ras homolog enriched in striatum) (Tumor endothelial marker 2). [Source:Uniprot/SWISSPROT;Acc:Q96D21]
NM_015367	567	51	751	798	918	187	760	586	913	706	Bcl-2-like 13 protein (Mil1 protein) (Bcl-rambo). [Source:Uniprot/SWISSPROT;Acc:Q9BXK5]
NM_021090	952	986	128	800	489	789	838	203	15	48	Myotubularin-related protein 3 (EC 3.1.3.48) (FYVE domain-containing dual specificity protein phosphatase 1) (FYVE-DSP1) (Zinc finger FYVE domain containing protein 10). [Source:Uniprot/SWISSPROT;Acc:Q13615]
NM_014349	450	497	844	120	496	783	94	893	73	976	Apolipoprotein-L3 (Apolipoprotein L-III) (ApoL-III) (TNF-inducible protein CG12-1) (CG12_1). [Source:Uniprot/SWISSPROT;Acc:O95236]
NM_025225	914	733	142	520	469	161	606	803	821	819	Adiponutrin (iPLA2-epsilon) [Includes: Triacylglycerol lipase (EC 3.1.1.3); Acylglycerol O-acyltransferase (EC 2.3.1.-)]. [Source:Uniprot/SWISSPROT;Acc:Q9NST1]
NM_007032	551	44	386	733	569	945	107	419	573	884	TRIO and F-actin binding protein (Protein Tara) (Trio-associated repeat on actin). [Source:Uniprot/SWISSPROT;Acc:Q9H2D6]
NM_001197	7	858	0	927	265	866	810	445	497	906	Bcl-2 interacting killer (Apoptosis inducer NBK) (BP4) (BIP1). [Source:Uniprot/SWISSPROT;Acc:Q13323]
NM_001003789	199	619	370	850	414	604	228	747	589	648	Rab-like protein 2B. [Source:Uniprot/SWISSPROT;Acc:Q9UNT1]
NM_000714	862	110	11	933	113	757	704	431	430	752	Peripheral-type benzodiazepine receptor (PBR) (PKBS) (Mitochondrial benzodiazepine receptor). [Source:Uniprot/SWISSPROT;Acc:P30536]
NM_030643	759	547	62	446	302	837	35	189	516	576	Apolipoprotein-L4 precursor (Apolipoprotein L-IV) (ApoL-IV). [Source:Uniprot/SWISSPROT;Acc:Q9BPW4]
NM_015094	564	708	606	469	59	707	145	263	394	707	Hypermethylated in cancer 2 protein (Hic-2) (Hic-3) (HIC1-related gene on chromosome 22) (Zinc finger and BTB domain containing protein 30). [Source:Uniprot/SWISSPROT;Acc:Q96JB3]
NM_003490	664	576	568	659	939	686	446	374	839	591	Synapsin-3 (Synapsin III). [Source:Uniprot/SWISSPROT;Acc:O14994]
NM_006498	709	277	172	107	688	541	420	286	230	117	Galectin-2 (Beta-galactoside-binding lectin L-14-II) (Lactose-binding lectin 2) (S-Lac lectin 2) (HL14). [Source:Uniprot/SWISSPROT;Acc:P05162]
NM_001355	773	943	248	693	366	561	125	124	130	366	D-dopachrome tautomerase (EC 5.3.3.-) (Phenylpyruvate tautomerase II). [Source:Uniprot/SWISSPROT;Acc:P30046]
NM_005992	615	346	161	851	403	325	12	522	977	53	T-box transcription factor TBX1 (T-box protein 1) (Testis-specific T- box protein). [Source:Uniprot/SWISSPROT;Acc:O43435]
NM_133632	811	164	980	142	623	383	674	29	949	740	Synapsin-3 (Synapsin III). [Source:Uniprot/SWISSPROT;Acc:O14994]
NM_024627	703	336	776	217	783	410	80	337	493	575	Guanine nucleotide-binding protein beta subunit-like protein 1 (G protein beta subunit-like protein 1) (WD40 repeat containing protein deleted in VCFS) (WDVCF protein) (DGCRK3). [Source:Uniprot/SWISSPROT;Acc:Q9BYB4]
NM_145730	194	685	821	130	941	139	611	621	938	566	Adapter-related protein complex 1 beta 1 subunit (Beta-adaptin 1) (Adaptor protein complex AP-1 beta-1 subunit) (Golgi adaptor HA1/AP1 adaptin beta subunit) (Clathrin assembly protein complex 1 beta large chain). [Source:Uniprot/SWISSPROT;Acc:Q10567]
NM_014309	581	422	988	293	58	149	953	103	89	950	RNA-binding protein 9 (RNA-binding motif protein 9) (Hexaribonucleotide binding protein 2) (Repressor of tamoxifen transcriptional activity). [Source:Uniprot/SWISSPROT;Acc:O43251]
NM_138814	15	69	91	189	748	977	683	565	884	645	patatin-like phospholipase domain containing 5 [Source:RefSeq_peptide;Acc:NP_620169]
NM_052945	868	191	195	902	220	676	395	516	220	718	Tumor necrosis factor receptor superfamily member 13C (B cell- activating factor receptor) (BAFF receptor) (BAFF-R) (BLyS receptor 3). [Source:Uniprot/SWISSPROT;Acc:Q96RJ3]
NM_145343	457	850	414	264	271	530	540	758	34	900	Apolipoprotein-L1 precursor (Apolipoprotein L-I) (Apolipoprotein L) (ApoL-I) (Apo-L) (ApoL). [Source:Uniprot/SWISSPROT;Acc:O14791]
NM_003216	284	503	275	551	810	674	943	707	744	17	Thyrotroph embryonic factor. [Source:Uniprot/SWISSPROT;Acc:Q10587]
NM_020243	441	738	740	760	20	601	306	761	446	462	Mitochondrial import receptor subunit TOM22 homolog (Translocase of outer membrane 22 kDa subunit homolog) (hTom22) (1C9-2). [Source:Uniprot/SWISSPROT;Acc:Q9NS69]
NM_003776	37	441	339	311	911	519	90	833	805	85	39S ribosomal protein L40, mitochondrial precursor (L40mt) (MRP-40) (Nuclear localization signal containing protein deleted in velocardiofacial syndrome) (Up-regulated in metastasis). [Source:Uniprot/SWISSPROT;Acc:Q9NQ50]
NM_181333	769	313	891	40	918	870	60	444	650	798	Rho-GTPase-activating protein 8. [Source:Uniprot/SWISSPROT;Acc:Q9NSG0]
NM_022141	44	787	950	279	375	725	588	276	849	316	Gamma-parvin. [Source:Uniprot/SWISSPROT;Acc:Q9HBI0]
NR_002184	548	864	652	274	386	794	791	284	408	565	Gastric cancer antigen Zg14. [Source:Uniprot/SWISSPROT;Acc:Q9Y3A4]
NM_006078	12	900	95	787	823	73	664	116	820	812	Voltage-dependent calcium channel gamma-2 subunit (Neuronal voltage- gated calcium channel gamma-2 subunit). [Source:Uniprot/SWISSPROT;Acc:Q9Y698]
NM_014338	184	547	942	47	137	332	825	186	849	324	phosphatidylserine decarboxylase [Source:RefSeq_peptide;Acc:NP_055153]
NM_021115	906	430	689	15	434	356	432	48	54	809	Seizure 6-like protein precursor. [Source:Uniprot/SWISSPROT;Acc:Q9BYH1]
NM_152246	717	495	101	633	975	674	274	266	765	786	Carnitine O-palmitoyltransferase I, mitochondrial muscle isoform (EC 2.3.1.21) (CPT I) (CPTI-M) (Carnitine palmitoyltransferase 1B) (Carnitine palmitoyltransferase I-like protein). [Source:Uniprot/SWISSPROT;Acc:Q92523]
NM_024866	850	744	896	158	78	128	261	371	921	899	ADM2 precursor (Intermedin) [Contains: Adrenomedullin-2 (Intermedin- long) (IMDL); Intermedin-short (IMDS)]. [Source:Uniprot/SWISSPROT;Acc:Q7Z4H4]
NM_153645	786	52	809	346	383	616	536	481	341	731	Nucleoporin 50 kDa (Nuclear pore-associated protein 60 kDa-like). [Source:Uniprot/SWISSPROT;Acc:Q9UKX7]
NM_197966	980	505	42	800	794	367	409	233	722	444	BH3 interacting domain death agonist (BID). [Source:Uniprot/SWISSPROT;Acc:P55957]
NM_145641	2	781	694	863	164	740	372	516	114	275	Apolipoprotein-L3 (Apolipoprotein L-III) (ApoL-III) (TNF-inducible protein CG12-1) (CG12_1). [Source:Uniprot/SWISSPROT;Acc:O95236]
NM_006477	276	276	411	670	177	467	679	771	890	102	Ras-like protein RRP22 (RAS-related protein on chromosome 22). [Source:Uniprot/SWISSPROT;Acc:Q92737]
